event_time,coefficient,std_error,ci_lower,ci_upper,t_stat,p_value
-10,-2.7586904835962294,3.9429563612541743,-10.48688495165441,4.969503984461952,-0.699650270214694,0.48414574018047607
-9,-4.782525705804796,3.7119260729300785,-12.05790080874775,2.4928493971381585,-1.2884215934908476,0.1975992460177829
-8,-2.8095135527176587,3.930920660336443,-10.514118046977087,4.895090941541769,-0.7147215106796879,0.4747811432287967
-7,-1.160466171916844,4.421886066052682,-9.827362861380102,7.506430517546414,-0.2624369227479364,0.7929846096868485
-6,-0.7862461744508464,2.9834834165687103,-6.633873670925519,5.061381322023825,-0.26353294611407774,0.792139833394395
-5,-2.7528721319119818,2.640692558629281,-7.9286295468253725,2.422885283001409,-1.0424811184157425,0.29718867501996904
-4,0.2293242810499206,2.4048731207596354,-4.484227035638965,4.942875597738806,0.0953581621709353,0.92403034634239
-3,-2.3547153727718664,2.976148579608186,-8.18796658880391,3.478535843260178,-0.7911955031095483,0.42882991523535297
-2,-0.5341424438798167,2.532843684742694,-5.498516065975497,4.430231178215863,-0.21088646216005197,0.8329758682044299
-1,0.0,0.0,0.0,0.0,,
0,0.32524447644914306,2.7161906767963893,-4.99848925007178,5.648978202970066,0.11974287343948645,0.904686836584089
1,-1.5571337920594486,2.938094997898758,-7.315799987941014,4.2015324038221165,-0.5299807505111531,0.5961252772107044
2,-1.6154402706361177,3.8842506638148437,-9.228571571713212,5.9976910304409765,-0.41589495901625034,0.6774868684042579
3,-0.6536913771303449,2.839797337525952,-6.219694158681211,4.912311404420521,-0.23018944644121844,0.8179445622084056
4,-2.8648271226499276,2.8585519533492523,-8.467588951214463,2.737934705914607,-1.0021952266053178,0.3162493127793575
5,-2.313530747074996,2.790014242905108,-7.781958663169007,3.1548971690190153,-0.8292182568451794,0.406980915986181
6,-3.221889261610772,3.5771552258834327,-10.233113504342299,3.7893349811207555,-0.900684778311536,0.367755944178366
7,-5.090276399407997,3.442269109728183,-11.837123854475236,1.6565710556592421,-1.4787560870887133,0.13920551613455
8,-6.975731201899912,3.1219126421173837,-13.094679980449984,-0.8567824233498396,-2.2344415112040874,0.02545403693189896
9,-4.844350710579274,3.1266071364615233,-10.97250069804386,1.2837992768853113,-1.5493953986370586,0.12128669922335167
10,-8.339960759506381,3.702194071638289,-15.596261139917427,-1.0836603790953347,-2.252707610170148,0.024277590797907145
