event_time,att_event,twfe_coef,twfe_se,twfe_ci_lower,twfe_ci_upper,t_stat,p_value,_merge
-10.0,,-2.7586904835962294,3.9429563612541743,-10.48688495165441,4.969503984461952,-0.699650270214694,0.484145740180476,right_only
-9.0,,-4.782525705804796,3.7119260729300794,-12.05790080874775,2.4928493971381585,-1.2884215934908476,0.1975992460177829,right_only
-8.0,,-2.8095135527176587,3.930920660336443,-10.514118046977089,4.895090941541769,-0.7147215106796879,0.4747811432287967,right_only
-7.0,,-1.160466171916844,4.421886066052682,-9.827362861380102,7.506430517546414,-0.2624369227479364,0.7929846096868485,right_only
-6.0,,-0.7862461744508464,2.9834834165687103,-6.633873670925519,5.061381322023825,-0.2635329461140777,0.792139833394395,right_only
-5.0,,-2.7528721319119818,2.640692558629281,-7.9286295468253725,2.422885283001409,-1.0424811184157423,0.297188675019969,right_only
-4.0,,0.2293242810499206,2.4048731207596354,-4.484227035638965,4.942875597738806,0.0953581621709353,0.92403034634239,right_only
-3.0,,-2.3547153727718664,2.976148579608186,-8.18796658880391,3.478535843260178,-0.7911955031095483,0.4288299152353529,right_only
-2.0,,-0.5341424438798167,2.532843684742694,-5.498516065975497,4.430231178215863,-0.2108864621600519,0.8329758682044299,right_only
-1.0,,0.0,0.0,0.0,0.0,,,right_only
0.0,0.23660639552650797,0.325244476449143,2.7161906767963893,-4.99848925007178,5.648978202970066,0.1197428734394864,0.904686836584089,both
1.0,0.36104919715154865,-1.5571337920594486,2.938094997898758,-7.315799987941014,4.2015324038221165,-0.5299807505111531,0.5961252772107044,both
2.0,-1.5982763667829096,-1.6154402706361175,3.884250663814844,-9.228571571713212,5.9976910304409765,-0.4158949590162503,0.6774868684042579,both
3.0,-1.1979755162573498,-0.6536913771303449,2.839797337525952,-6.219694158681211,4.912311404420521,-0.2301894464412184,0.8179445622084056,both
4.0,-1.9979116629040425,-2.864827122649928,2.8585519533492523,-8.467588951214463,2.737934705914607,-1.0021952266053178,0.3162493127793575,both
5.0,-2.5519124147122505,-2.313530747074996,2.790014242905108,-7.781958663169007,3.1548971690190157,-0.8292182568451794,0.406980915986181,both
6.0,-2.8604319375658798,-3.221889261610772,3.5771552258834327,-10.2331135043423,3.789334981120756,-0.900684778311536,0.367755944178366,both
7.0,-5.558448751136741,-5.090276399407997,3.442269109728183,-11.837123854475236,1.656571055659242,-1.478756087088713,0.13920551613455,both
8.0,-6.0408637693950125,-6.975731201899912,3.121912642117384,-13.094679980449984,-0.8567824233498396,-2.2344415112040874,0.0254540369318989,both
9.0,-1.2901910976487778,-4.844350710579274,3.1266071364615238,-10.97250069804386,1.2837992768853113,-1.5493953986370586,0.1212866992233516,both
10.0,-5.906561291407026,-8.339960759506381,3.702194071638289,-15.596261139917427,-1.0836603790953347,-2.252707610170148,0.0242775907979071,both
11.0,-2.358890853155228,,,,,,,left_only
12.0,-4.505889779045468,,,,,,,left_only
13.0,-8.624909446353008,,,,,,,left_only
14.0,-10.886576652526855,,,,,,,left_only
15.0,-6.669122695922852,,,,,,,left_only
