"year","att","se","ci_lower","ci_upper"
1969,1.32165396231662,7.07132179852419,-12.5381367627908,15.181444687424
1970,-6.5893225303228,4.95474291049979,-16.3006186349024,3.12197357425679
1971,-6.63419250361496,4.46392237793416,-15.3834803643659,2.11509535713598
1972,-7.31264061617782,4.81107344508181,-16.7423445685382,2.11706333618253
1973,9.07831819855967,6.24189175519446,-3.15578964162148,21.3124260387408
1974,4.7089788260003,5.95931223391451,-6.97127315247213,16.3892308044727
1975,10.6091346611142,5.92073961196703,-0.995514978341149,22.2137843005696
1976,7.1350210074884,5.52832992294141,-3.70050564147675,17.9705476564536
