"group","time","att","se","ci_lower","ci_upper"
1969,1965,-5.20631968556458,6.93449911353895,-18.7979379481009,8.38529857697176
1969,1966,2.58855810329691,10.9774618603195,-18.9272671429293,24.1043833495231
1969,1967,4.12196399641949,7.18658245757194,-9.96373762042151,18.2076656132605
1969,1968,-3.07937229175024,5.35925961803447,-13.5835211430978,7.42477655959732
1969,1969,1.32165396231662,7.00953790548434,-12.4170403324327,15.0603482570659
1969,1970,-9.6447699526627,9.53996033601713,-28.3430922112563,9.05355230593087
1969,1971,-11.6148705722113,7.72770467446169,-26.7611717341562,3.53143058973357
1969,1972,-2.57863781911902,13.648648208702,-29.3299883081749,24.1727126699369
1969,1973,8.31576386615414,8.86291948020405,-9.05555831504581,25.6870860473541
1969,1974,1.39371236438037,8.75890015621992,-15.7737319418107,18.5611566705714
1969,1975,-9.43239065253372,10.788181407639,-30.5772262115062,11.7124449064387
1969,1976,-6.71253082360877,15.1941344202659,-36.4930342873299,23.0679726401123
1969,1977,NA,NA,NA,NA
1969,1978,NA,NA,NA,NA
1969,1979,NA,NA,NA,NA
1969,1980,NA,NA,NA,NA
1969,1981,NA,NA,NA,NA
1969,1982,NA,NA,NA,NA
1969,1983,NA,NA,NA,NA
1969,1984,NA,NA,NA,NA
1970,1965,2.81810065900621,5.34729425540906,-7.66259608159555,13.298797399608
1970,1966,7.27763020921857,2.77536247344043,1.83791976127533,12.7173406571618
1970,1967,-1.7453015683407,3.16826650188539,-7.95510391203606,4.46450077535465
1970,1968,-4.9323541000698,5.68555024675508,-16.0760325837098,6.21132438357015
1970,1969,5.19279319285514,5.96189994225666,-6.49253069396792,16.8781170796782
1970,1970,-3.5338751079829,2.0901760495422,-7.63062016508561,0.562869949119805
1970,1971,-1.76905883311108,4.87418365662166,-11.3224588000895,7.78434113386738
1970,1972,-1.30952457944212,7.14228930587195,-15.3084116189511,12.6893624600669
1970,1973,-7.9444252218299,3.38607687286138,-14.5811358926382,-1.30771455102161
1970,1974,-23.465388986366,18.3363075689819,-59.4045518215704,12.4737738488385
1970,1975,-30.1666009506284,6.35709330751958,-42.6265038333668,-17.70669806789
1970,1976,NA,NA,NA,NA
1970,1977,NA,NA,NA,NA
1970,1978,NA,NA,NA,NA
1970,1979,NA,NA,NA,NA
1970,1980,NA,NA,NA,NA
1970,1981,NA,NA,NA,NA
1970,1982,NA,NA,NA,NA
1970,1983,NA,NA,NA,NA
1970,1984,NA,NA,NA,NA
1971,1965,-5.4977524523289,5.41591740956944,-16.112950575085,5.1174456704272
1971,1966,-5.6193945960686,3.92152253553625,-13.3055787657196,2.06678957358244
1971,1967,3.76092201249154,5.79860921232836,-7.60435204367204,15.1261960686551
1971,1968,5.48000118575295,3.32939485440706,-1.04561272888489,12.0056151003908
1971,1969,-4.78299622158196,4.39662981552631,-13.4003906600135,3.83439821684961
1971,1970,0.423960334968638,5.12959288499405,-9.63004171961971,10.477962389557
1971,1971,-6.60117981844568,6.44724331921904,-19.237776724115,6.03541708722363
1971,1972,-10.4074150282784,7.28670823811776,-24.6893631749892,3.87453311843245
1971,1973,1.94252591720301,8.08857005611617,-13.9110713927847,17.7961232271907
1971,1974,9.48158974048273,7.45810436890908,-5.13629482257906,24.0994743035445
1971,1975,11.1806999640794,5.2616435050692,0.867878694143741,21.493521234015
1971,1976,7.02268979838655,10.6349409868841,-13.8217945359063,27.8671741326794
1971,1977,NA,NA,NA,NA
1971,1978,NA,NA,NA,NA
1971,1979,NA,NA,NA,NA
1971,1980,NA,NA,NA,NA
1971,1981,NA,NA,NA,NA
1971,1982,NA,NA,NA,NA
1971,1983,NA,NA,NA,NA
1971,1984,NA,NA,NA,NA
1972,1965,0.966982320160242,2.37372845397858,-3.68552544963778,5.61949008995827
1972,1966,1.9365959207162,5.36005828947069,-8.56911832664635,12.4423101680787
1972,1967,-5.86571209317393,4.05528998436655,-13.8140804625324,2.08265627618451
1972,1968,11.7350638696189,5.83842888279039,0.291743259349758,23.1783844798881
1972,1969,-12.0947470242761,5.83204319450386,-23.5255516855037,-0.663942363048516
1972,1970,-2.74422853643695,4.36591601051455,-11.3014239170455,5.81296684417157
1972,1971,6.54555843071588,5.665876193531,-4.55955890860487,17.6506757700366
1972,1972,-7.24957954380619,5.18226022906025,-17.4068095927643,2.90765050515189
1972,1973,9.74990963856878,15.6683064430803,-20.9599709898685,40.4597902670061
1972,1974,7.06506647586767,12.6813136257273,-17.7903082305578,31.9204411822931
1972,1975,17.0329708336405,15.9609135170672,-14.2504196598113,48.3163613270923
1972,1976,14.3373377345499,21.9756171324375,-28.7348718450276,57.4095473141274
1972,1977,NA,NA,NA,NA
1972,1978,NA,NA,NA,NA
1972,1979,NA,NA,NA,NA
1972,1980,NA,NA,NA,NA
1972,1981,NA,NA,NA,NA
1972,1982,NA,NA,NA,NA
1972,1983,NA,NA,NA,NA
1972,1984,NA,NA,NA,NA
1973,1965,1.6723680230806,3.51360622363288,-5.21430017523983,8.55903622140104
1973,1966,-1.55647896523234,4.59405475258968,-10.5608262803081,7.44786834984343
1973,1967,-0.173338592364276,8.29245534670326,-16.4265510719027,16.0798738871741
1973,1968,-2.64375200189646,6.20855429150925,-14.8125184132546,9.52501440946167
1973,1969,2.99550563840895,5.02843410152388,-6.86022520057785,12.8512364773957
1973,1970,-5.38701410010834,4.58954843646841,-14.3825290355864,3.60850083536974
1973,1971,-0.981369681538206,8.12469193203378,-16.9057658683244,14.943026505248
1973,1972,-4.23870063727179,8.27736985354563,-20.4623455502212,11.9849442756776
