"event_time","att","se","ci_lower","ci_upper"
-19,0.216587141253275,1.15792526101226,-2.05294637033076,2.48612065283731
-18,0.875821402134518,1.39644168064076,-1.86120429192138,3.61284709619042
-17,-3.21698555728598,1.4606425441766,-6.07984494387212,-0.354126170699844
-16,-2.71680104462076,1.38431954603574,-5.43006735485081,-0.00353473439071728
-15,-1.00519903353694,3.82539814029477,-8.50297938851469,6.4925813214408
-14,3.47574477630578,3.873939839657,-4.11717730942193,11.0686668620335
-13,-8.65028974835417,6.68821470151519,-21.7591905633239,4.45861106661559
-12,9.31622202677418,7.66117552475554,-5.69968200174668,24.332126055295
-11,-10.6041334743747,4.95313999685104,-20.3122878682028,-0.895979080546704
-10,23.1706303810703,10.2481129968792,3.08432890718702,43.2569318549535
-9,-8.53090970659526,5.22286181890365,-18.7677188716464,1.7058994584559
-8,5.10805656389125,3.04921209754738,-0.868399147301629,11.0845122750841
-7,-0.920620231006558,2.24495205354196,-5.3207262559488,3.47948579393568
-6,-3.52178280818041,3.69114299116826,-10.7564230708702,3.71285745450938
-5,-0.382015214532498,2.69678814120509,-5.66771997129448,4.90368954222949
-4,4.96938888112572,2.39956640890563,0.266238719670683,9.67253904258076
-3,-0.918366383541416,5.08274483731539,-10.8805462646796,9.04381349759675
-2,0.551145109716969,3.41227189557277,-6.13690780560566,7.2391980250396
-1,-0.4404582011937,3.37305772440255,-7.0516513410227,6.1707349386353
0,2.59507125285886,5.25703125361171,-7.70871000422009,12.8988525099378
1,1.69022484888929,4.8540784509112,-7.82376891489667,11.2042186126753
2,8.37715062849311,6.14191392479182,-3.66100066409886,20.4153019210851
3,10.2294976659713,5.01150917324117,0.406939686418591,20.052055645524
4,6.49840447941297,6.7383878615811,-6.70883572928598,19.7056446881119
5,-0.76244987125366,9.50518091477127,-19.3926044642054,17.867704721698
6,-9.43239065253372,10.2668287258726,-29.5553749552441,10.6905936501766
7,-6.71253082360877,15.3455819162419,-36.789871379443,23.3648097322254
